cell_id,x_spring,y_spring,Potential,Pr_Er,Pr_Gr,Pr_Ly,Pr_DC,Pr_Mk,Pr_Mo,Pr_Ba
bBM765,23.521,101.38,21.68,0.010324,0.09509,0.022935,0.093664,0.0070407,0.76421,0.0067415
bBM768,389.58,-822.7,-0.39698,1.5267e-16,1,4.4499e-16,1.6103e-15,1.8133e-16,3.8949e-16,6.833e-17
bBM769,187.2,-1552.9,-128.22,8.632e-16,1,7.2607e-17,0,0,0,1.4998e-17
bBM770,-909.33,103.28,20.564,0.98977,0.0012851,0.0043546,0.0010684,0.0010629,0.00061162,0.0018433
bBM771,-929.07,115.5,20.51,0.99287,0.00090529,0.0031955,0.00075574,0.00062879,0.00047141,0.0011742
bBM773,-250.42,241.54,22.072,0.12275,0.083771,0.069505,0.15589,0.41013,0.073151,0.084801
bBM775,-982.47,116.96,20.163,0.99726,0.0003344,0.0012411,0.00028039,0.00025185,0.00017666,0.000455
bBM776,-299.72,240.52,22.048,0.095625,0.11987,0.052359,0.068321,0.055826,0.063235,0.54477
bBM777,7.0373,32.518,21.647,0.017227,0.65032,0.019255,0.040682,0.011176,0.24522,0.016114
bBM778,200.74,17.109,21.24,0.0035877,0.33398,0.0085615,0.057281,0.0012867,0.59348,0.0018263
bBM781,-874.39,129.48,20.889,0.97769,0.0025883,0.010222,0.0020947,0.0021836,0.0012078,0.0040172
bBM787,247.93,-267.27,19.661,0.00028099,0.99483,0.00033141,0.0019013,6.0131e-05,0.0023504,0.00024862
bBM789,-1007.1,44.86,19.107,0.99973,3.6091e-05,0.0001084,3.8908e-05,2.6096e-05,1.8725e-05,4.5763e-05
bBM790,-317.96,362.25,21.509,0.11502,0.055924,0.049707,0.14076,0.52305,0.044413,0.071123
bBM792,-1088.7,-1220.6,-197.03,1,7.8078e-16,1.4442e-15,2.0738e-15,1.4055e-15,2.6723e-15,9.1285e-16
bBM794,-912.32,-1504.4,-328.19,1,3.3873e-15,3.7386e-16,2.1958e-16,1.0316e-16,2.8468e-15,4.5907e-17
bBM797,237.82,-215.89,20.154,0.00073287,0.95636,0.0014966,0.025102,0.0001407,0.015881,0.00028429
bBM798,-216.29,207.39,22.548,0.12003,0.14997,0.14148,0.17086,0.12829,0.14686,0.14251
bBM800,162.46,-146.47,20.594,0.0033711,0.92129,0.02824,0.017439,0.00058571,0.028097,0.0009806
bBM801,-101.6,522.97,14.527,5.2613e-07,4.1783e-07,0.99996,3.6011e-05,6.4331e-08,2.9509e-07,7.0107e-08
bBM803,-942.95,106.74,20.371,0.99491,0.00064214,0.0023282,0.00049437,0.0004497,0.0003423,0.00083084
bBM804,242.05,-227.58,20.037,0.0005003,0.98651,0.00074096,0.0033829,8.9699e-05,0.0085737,0.00019934
bBM807,-244.77,167.62,22.387,0.15537,0.1912,0.090309,0.13564,0.091787,0.124,0.2117
bBM812,-1027.9,51.995,18.875,0.99976,3.0801e-05,9.1947e-05,2.6104e-05,2.5548e-05,1.6759e-05,4.4113e-05
bBM817,-1029,113.37,19.803,0.99876,0.00015286,0.00056182,0.00013385,0.00010785,8.161e-05,0.00019843
bBM819,-1042.3,56.476,18.948,0.99979,2.492e-05,9.1399e-05,3.5523e-05,1.3969e-05,1.4513e-05,2.5815e-05
bBM824,173.9,-152.75,20.761,0.0029612,0.93784,0.0080871,0.014733,0.00079511,0.033922,0.0016608
bBM842,297.49,-499.25,16.478,4.8381e-07,0.99999,6.165e-07,5.6292e-06,7.3168e-08,2.785e-06,2.8952e-07
bBM843,216.79,-244.52,20.014,0.00077982,0.9796,0.0011929,0.012171,0.00010977,0.0059262,0.00022292
bBM844,221.31,-287.19,19.501,0.00032582,0.99471,0.00054078,0.0028637,3.7076e-05,0.0014517,7.1556e-05
bBM846,181.05,-200.11,20.514,0.0046367,0.95515,0.0044854,0.019768,0.00048578,0.01461,0.00086533
